odds_cap,delta_threshold,total_trades,wins,losses,max_losing_streak,base_bet,final_bank,profit,roi,bankrupt
3.4,100,6053,5049,1004,4,32,108905,,,0
3.4,150,3165,2805,360,3,66,130072,,,0
3.4,200,1416,1305,111,2,142,126679,,,0
3.4,250,561,542,19,2,142,52557,,,0
3.4,300,206,202,4,1,333,47813,,,0
3.4,350,66,64,2,1,333,16185,,,0
3.4,400,21,20,1,1,333,6015,,,0
3.5,50,10409,8046,2363,5,15,78434,,,0
3.5,100,6081,5065,1016,4,32,110078,,,0
3.5,150,3174,2811,363,3,66,130994,,,0
3.5,200,1420,1308,112,2,142,127586,,,0
3.5,250,563,544,19,2,142,53247,,,0
3.5,300,206,202,4,1,333,47813,,,0
3.5,350,66,64,2,1,333,16185,,,0
3.5,400,21,20,1,1,333,6015,,,0
3.6,50,10455,8074,2381,5,15,79491,,,0
3.6,100,6100,5077,1023,4,32,111039,,,0
3.6,150,3179,2816,363,3,66,131840,,,0
3.6,200,1423,1311,112,2,142,128669,,,0
3.6,250,563,544,19,2,142,53247,,,0
3.6,300,206,202,4,1,333,47813,,,0
3.6,350,66,64,2,1,333,16185,,,0
3.6,400,21,20,1,1,333,6015,,,0
3.7,50,10487,8088,2399,5,15,79832,,,0
3.7,100,6114,5084,1030,4,32,111546,,,0
3.7,150,3186,2821,365,3,66,132595,,,0
3.7,200,1426,1313,113,2,142,129422,,,0
3.7,250,564,545,19,2,142,53617,,,0
3.7,300,207,203,4,1,333,48679,,,0
3.7,350,66,64,2,1,333,16185,,,0
3.7,400,21,20,1,1,333,6015,,,0
3.8,50,10526,8111,2415,5,15,80973,,,0
3.8,100,6137,5099,1038,5,15,53268,,,0
3.8,150,3196,2830,366,3,66,134183,,,0
3.8,200,1433,1319,114,2,142,131639,,,0
3.8,250,568,549,19,2,142,55167,,,0
3.8,300,207,203,4,1,333,48679,,,0
3.8,350,66,64,2,1,333,16185,,,0
3.8,400,21,20,1,1,333,6015,,,0
3.9,50,10588,8135,2453,5,15,81891,,,0
3.9,100,6162,5108,1054,5,15,53521,,,0
3.9,150,3207,2836,371,3,66,134991,,,0
3.9,200,1437,1320,117,2,142,131603,,,0
3.9,250,568,549,19,2,142,55167,,,0
3.9,300,207,203,4,1,333,48679,,,0
3.9,350,66,64,2,1,333,16185,,,0
3.9,400,21,20,1,1,333,6015,,,0
4.0,50,10608,8144,2464,5,15,82561,,,0
4.0,100,6169,5111,1058,5,15,53671,,,0
4.0,150,3209,2838,371,3,66,135378,,,0
4.0,200,1438,1321,117,2,142,132015,,,0
4.0,250,568,549,19,2,142,55167,,,0
4.0,300,207,203,4,1,333,48679,,,0
4.0,350,66,64,2,1,333,16185,,,0
4.0,400,21,20,1,1,333,6015,,,0
